age	model	Q2.5	Q50	Q97.5
0-9	Verity_etal	0.000185	0.00161	0.0249
10-19	Verity_etal	0.00149	0.00695	0.0502
20-29	Verity_etal	0.0138	0.0309	0.0923
30-39	Verity_etal	0.0408	0.0844	0.185
40-49	Verity_etal	0.0764	0.161	0.323
50-59	Verity_etal	0.344	0.595	1.28
60-69	Verity_etal	1.11	1.93	3.89
70-79	Verity_etal	2.45	4.28	8.44
80-999	Verity_etal	3.8	7.8	13.3
0-9	Wood_etal	0.0002	0.0007	0.002
10-19	Wood_etal	0.001	0.003	0.006
20-29	Wood_etal	0.005	0.01	0.02
30-39	Wood_etal	0.02	0.03	0.05
40-49	Wood_etal	0.05	0.1	0.15
50-59	Wood_etal	0.17	0.32	0.5
60-69	Wood_etal	0.55	1	1.53
70-79	Wood_etal	1.2	2.3	3.4
80-999	Wood_etal	2	3.7	5.7
0-19	Salje_etal	0	0.001	0.002
20-29	Salje_etal	0.003	0.007	0.01
30-39	Salje_etal	0.01	0.02	0.04
40-49	Salje_etal	0.03	0.05	0.09
50-59	Salje_etal	0.1	0.2	0.3
60-69	Salje_etal	0.4	0.8	1.4
70-79	Salje_etal	1.2	2.2	3.7
80-999	Salje_etal	4.4	8.3	13.9
0-4	ODriscoll_etal	0.001	0.002	0.002
5-9	ODriscoll_etal	0	0	0
9-14	ODriscoll_etal	0	0	0.001
15-19	ODriscoll_etal	0.001	0.002	0.002
20-24	ODriscoll_etal	0.003	0.004	0.004
25-29	ODriscoll_etal	0.008	0.009	0.011
30-34	ODriscoll_etal	0.015	0.017	0.019
35-39	ODriscoll_etal	0.027	0.029	0.031
40-44	ODriscoll_etal	0.049	0.053	0.056
45-49	ODriscoll_etal	0.081	0.086	0.091
50-54	ODriscoll_etal	0.0146	0.154	0.162
55-59	ODriscoll_etal	0.229	0.241	0.253
60-64	ODriscoll_etal	0.34	0.359	0.379
65-69	ODriscoll_etal	0.61	0.642	0.676
70-74	ODriscoll_etal	1.022	1.076	1.132
75-79	ODriscoll_etal	2.162	2.276	2.396
80-999	ODriscoll_etal	6.909	7.274	7.656
0-34	Levin_etal	0.003	0.004	0.005
35-44	Levin_etal	0.058	0.068	0.078
45-54	Levin_etal	0.2	0.23	0.26
55-64	Levin_etal	0.66	0.75	0.87
65-74	Levin_etal	2.1	2.5	3
75-84	Levin_etal	6.9	8.5	10.4
85-999	Levin_etal	21.8	28.3	36.6
